0-20,20-40,40-65,65-inf,total
0,3,21.714285715,31.000000001,55.714285716
0,3,21.714285715,31.000000001,55.714285716
0,3,21.714285715,31.000000001,55.714285716
0,3,21.714285715,31.000000001,55.714285716
0,3,21.714285715,31.000000001,55.714285716
0,3,21.714285715,31.000000001,55.714285716
0,3,21.714285715,31.000000001,55.714285716
0.857142857,3.000000001,15.857142856,22.142857142,41.857142856
0.857142857,3.000000001,15.857142856,22.142857142,41.857142856
0.857142857,3.000000001,15.857142856,22.142857142,41.857142856
0.857142857,3.000000001,15.857142856,22.142857142,41.857142856
0.857142857,3.000000001,15.857142856,22.142857142,41.857142856
0.857142857,3.000000001,15.857142856,22.142857142,41.857142856
0.857142857,3.000000001,15.857142856,22.142857142,41.857142856
0.285714286,1.857142858,10.428571429,16.714285714,29.285714287
0.285714286,1.857142858,10.428571429,16.714285714,29.285714287
0.285714286,1.857142858,10.428571429,16.714285714,29.285714287
0.285714286,1.857142858,10.428571429,16.714285714,29.285714287
0.285714286,1.857142858,10.428571429,16.714285714,29.285714287
0.285714286,1.857142858,10.428571429,16.714285714,29.285714287
0.285714286,1.857142858,10.428571429,16.714285714,29.285714287
0.571428572,1.285714287,6.714285715,12.714285715,21.285714289
0.571428572,1.285714287,6.714285715,12.714285715,21.285714289
0.571428572,1.285714287,6.714285715,12.714285715,21.285714289
0.571428572,1.285714287,6.714285715,12.714285715,21.285714289
0.571428572,1.285714287,6.714285715,12.714285715,21.285714289
0.571428572,1.285714287,6.714285715,12.714285715,21.285714289
0.571428572,1.285714287,6.714285715,12.714285715,21.285714289
0,1.285714287,7.000000001,11.285714286,19.571428574
0,1.285714287,7.000000001,11.285714286,19.571428574
0,1.285714287,7.000000001,11.285714286,19.571428574
0,1.285714287,7.000000001,11.285714286,19.571428574
0,1.285714287,7.000000001,11.285714286,19.571428574
0,1.285714287,7.000000001,11.285714286,19.571428574
0,1.285714287,7.000000001,11.285714286,19.571428574
0,0.714285715,4.142857144,6.857142858,11.714285717
0,0.714285715,4.142857144,6.857142858,11.714285717
0,0.714285715,4.142857144,6.857142858,11.714285717
0,0.714285715,4.142857144,6.857142858,11.714285717
0,0.714285715,4.142857144,6.857142858,11.714285717
0,0.714285715,4.142857144,6.857142858,11.714285717
0,0.714285715,4.142857144,6.857142858,11.714285717
0.285714286,0.571428572,2.42857143,4,7.285714288
0.285714286,0.571428572,2.42857143,4,7.285714288
0.285714286,0.571428572,2.42857143,4,7.285714288
0.285714286,0.571428572,2.42857143,4,7.285714288
0.285714286,0.571428572,2.42857143,4,7.285714288
0.285714286,0.571428572,2.42857143,4,7.285714288
0.285714286,0.571428572,2.42857143,4,7.285714288
0.714285714,0.428571429,1.571428572,2.142857144,4.857142859
0.714285714,0.428571429,1.571428572,2.142857144,4.857142859
0.714285714,0.428571429,1.571428572,2.142857144,4.857142859
0.714285714,0.428571429,1.571428572,2.142857144,4.857142859
0.714285714,0.428571429,1.571428572,2.142857144,4.857142859
0.714285714,0.428571429,1.571428572,2.142857144,4.857142859
0.714285714,0.428571429,1.571428572,2.142857144,4.857142859
0.285714286,0.714285715,2.142857143,1.42857143,4.571428574
0.285714286,0.714285715,2.142857143,1.42857143,4.571428574
0.285714286,0.714285715,2.142857143,1.42857143,4.571428574
0.285714286,0.714285715,2.142857143,1.42857143,4.571428574
0.285714286,0.714285715,2.142857143,1.42857143,4.571428574
0.285714286,0.714285715,2.142857143,1.42857143,4.571428574
0.285714286,0.714285715,2.142857143,1.42857143,4.571428574
0.142857143,0.428571429,1.000000001,1.714285715,3.285714288
0.142857143,0.428571429,1.000000001,1.714285715,3.285714288
0.142857143,0.428571429,1.000000001,1.714285715,3.285714288
0.142857143,0.428571429,1.000000001,1.714285715,3.285714288
0.142857143,0.428571429,1.000000001,1.714285715,3.285714288
0.142857143,0.428571429,1.000000001,1.714285715,3.285714288
0.142857143,0.428571429,1.000000001,1.714285715,3.285714288
0.142857143,0,1.142857143,2.000000001,3.285714287
0.142857143,0,1.142857143,2.000000001,3.285714287
0.142857143,0,1.142857143,2.000000001,3.285714287
0.142857143,0,1.142857143,2.000000001,3.285714287
0.142857143,0,1.142857143,2.000000001,3.285714287
0.142857143,0,1.142857143,2.000000001,3.285714287
0.142857143,0,1.142857143,2.000000001,3.285714287
0.142857143,0.285714286,2.142857143,2.142857143,4.714285715
0.142857143,0.285714286,2.142857143,2.142857143,4.714285715
0.142857143,0.285714286,2.142857143,2.142857143,4.714285715
0.142857143,0.285714286,2.142857143,2.142857143,4.714285715
