NbCI,NB_Classe,Method,Parametre_method_1,Parametre_method_2,accept_mcmc,reject_mcmc,fct_obj,nbr_evaluation,nbr_evaluation_aborted,temps,temps_CPU,delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0,delta_1,gamma_1,eps_1,r_1,x0_infect_1,beta0_1,beta1_1,beta2_1,beta3_1,beta4_1,beta5_1,beta6_1
0,2,MCMC,Metropolis,,53916,226083,1783290.849016320891678,280000,0,50.259007195000002,50.255714863999998,0.308671965766565,0.601477954680083,0.853657547381277,0.102658832838594,0.000102149609315,0.088788138352228,0.062557538075489,0.081715999283516,0.069471325175040,0.088929903978663,0.082731625331871,0.072391714319508,0.435945620002282,0.042065594829692,0.792045985585775,0.061845804488178,0.000012110441187,0.074947593658131,0.053052798031970,0.054431938844056,0.079952940104355,0.098656178522320,0.078871184107144,0.014800267893587
0,2,MCMC,Metropolis,,58563,241436,1780235.164161222986877,300000,0,53.853115815000002,53.849730121999997,0.308656724008612,0.601481770496335,0.853652713921344,0.102636339367097,0.000102149253577,0.088788396977165,0.062545498921167,0.081699534662512,0.069472704594539,0.088934517079686,0.082727267242828,0.072423245101359,0.435720645109962,0.041854072170636,0.792046262883046,0.061823087770473,0.000012112911174,0.074984459949771,0.053153268035396,0.054449315811209,0.079985175909845,0.098690190028797,0.078921029035850,0.014834912736951
0,2,MCMC,Metropolis,,63279,256720,1777230.485225871205330,320000,0,57.630665544000003,57.627135703999997,0.308645800761291,0.601484088535082,0.853640343545107,0.102626073825996,0.000102148597104,0.088788247037707,0.062540328158314,0.081692056738677,0.069485010456892,0.088921595164816,0.082739322207655,0.072438658612113,0.435498273599613,0.041649023705419,0.792046299845616,0.061834992444706,0.000012122816241,0.075040407529525,0.053245402072681,0.054465898275616,0.080027572202464,0.098740163502657,0.078952785584886,0.014840615377868
0,2,MCMC,Metropolis,,67779,272220,1774303.841123618185520,340000,0,61.282046026000003,61.278325913000003,0.308640806099558,0.601505053286568,0.853630701203296,0.102619051042428,0.000102143349993,0.088791125610989,0.062529440621484,0.081691713160262,0.069493851526151,0.088925697132598,0.082749411614758,0.072459860439357,0.435287007281056,0.041436653829724,0.792043071582059,0.061832618481601,0.000012132068535,0.075085957626675,0.053318681213480,0.054486029866576,0.080058003335275,0.098791496454318,0.078988365398553,0.014858208881830
0,2,MCMC,Metropolis,,72554,287445,1771197.800669807475060,360000,0,64.895619893000003,64.891790752000006,0.308638554995103,0.601516115991655,0.853632941806677,0.102604750246012,0.000102141815232,0.088792990788427,0.062520701847542,0.081694366017488,0.069491623147763,0.088923600217142,0.082776077803653,0.072481659286147,0.435059776284851,0.041214798566597,0.792033824590873,0.061842989687434,0.000012139307732,0.075131827942133,0.053406134289057,0.054514384803870,0.080092018273168,0.098838756265792,0.079019852854857,0.014882242200690
0,2,MCMC,Metropolis,,77275,302724,1768198.810338744893670,380000,0,68.440570394000005,68.436222201000007,0.308625683130881,0.601532636332737,0.853617632901578,0.102611097841135,0.000102137676857,0.088796974567054,0.062491299927156,0.081688672750847,0.069504767158714,0.088918988518883,0.082768545562932,0.072488778701146,0.434861944325372,0.040988931183369,0.792018613813993,0.061843369558040,0.000012148683287,0.075179808960933,0.053495334995171,0.054536030630896,0.080132572415770,0.098895207222780,0.079076448294330,0.014894307330783
0,2,MCMC,Metropolis,,81905,318094,1765405.595098404679447,400000,0,72.017072170000006,72.012200419999999,0.308617400483045,0.601551511212384,0.853611860234609,0.102592043415493,0.000102134657973,0.088798440919943,0.062488286077432,0.081672788595286,0.069510748637849,0.088920401925387,0.082784866599228,0.072506163868169,0.434666613118494,0.040784508188704,0.792013741458246,0.061859150519225,0.000012152301902,0.075224876752815,0.053571729601279,0.054561083347405,0.080175470024420,0.098955121111830,0.079103160717468,0.014913111407566
0,2,MCMC,Metropolis,,86661,333338,1762313.000507910270244,420000,0,75.563533346000000,75.552629625999998,0.308602592154976,0.601557404482912,0.853608205867218,0.102585905635215,0.000102134039514,0.088797565014668,0.062488463168006,0.081676231286801,0.069533776724282,0.088917292509933,0.082782831755816,0.072546211544281,0.434442536968147,0.040563507623000,0.791998004404036,0.061855940492429,0.000012159809075,0.075295953921686,0.053643846605511,0.054575517129424,0.080212074540473,0.099013301427257,0.079137161324939,0.014936000218707
0,2,MCMC,Metropolis,,91234,348765,1759293.322915045544505,440000,0,79.167443196000008,79.156292196999999,0.308592931942497,0.601565389292043,0.853610709638526,0.102575796491280,0.000102134113984,0.088798480717860,0.062479678069735,0.081671266236757,0.069519609103864,0.088916105963566,0.082785117727409,0.072560134115178,0.434222051275619,0.040347980163519,0.792005180484979,0.061872652640477,0.000012169799006,0.075335334748695,0.053729152472436,0.054600890474235,0.080239963596921,0.099074227028864,0.079174455594188,0.014954427919696
0,2,MCMC,Metropolis,,95902,364097,1756436.982236604904756,460000,0,82.789863774000011,82.778570926000000,0.308569291772490,0.601570242210049,0.853602097806802,0.102548812526296,0.000102132718734,0.088797067560341,0.062477863664672,0.081679256735754,0.069517863544962,0.088907624828677,0.082771008829427,0.072610685256617,0.434027712706576,0.040143216584030,0.792012053530368,0.061899508846318,0.000012179959537,0.075373182733304,0.053821436011726,0.054628480840732,0.080294077642936,0.099132752040321,0.079207758454570,0.014947642724216
