0-65,65-inf,all
1.571428573,1.714285715,3.285714288
1.571428573,1.714285715,3.285714288
1.571428573,1.714285715,3.285714288
1.571428573,1.714285715,3.285714288
1.571428573,1.714285715,3.285714288
1.571428573,1.714285715,3.285714288
1.571428573,1.714285715,3.285714288
1.285714286,2.000000001,3.285714287
1.285714286,2.000000001,3.285714287
1.285714286,2.000000001,3.285714287
1.285714286,2.000000001,3.285714287
1.285714286,2.000000001,3.285714287
1.285714286,2.000000001,3.285714287
1.285714286,2.000000001,3.285714287
2.571428572,2.142857143,4.714285715
2.571428572,2.142857143,4.714285715
2.571428572,2.142857143,4.714285715
2.571428572,2.142857143,4.714285715
2.571428572,2.142857143,4.714285715
2.571428572,2.142857143,4.714285715
2.571428572,2.142857143,4.714285715
3.571428572,3,6.571428572
3.571428572,3,6.571428572
3.571428572,3,6.571428572
3.571428572,3,6.571428572
3.571428572,3,6.571428572
3.571428572,3,6.571428572
3.571428572,3,6.571428572
5.000000001,5.285714287,10.285714288
5.000000001,5.285714287,10.285714288
5.000000001,5.285714287,10.285714288
5.000000001,5.285714287,10.285714288
5.000000001,5.285714287,10.285714288
5.000000001,5.285714287,10.285714288
5.000000001,5.285714287,10.285714288
7.142857142,7.428571427,14.571428569
7.142857142,7.428571427,14.571428569
7.142857142,7.428571427,14.571428569
7.142857142,7.428571427,14.571428569
7.142857142,7.428571427,14.571428569
7.142857142,7.428571427,14.571428569
7.142857142,7.428571427,14.571428569
7.285714287,12.285714286,19.571428573
7.285714287,12.285714286,19.571428573
7.285714287,12.285714286,19.571428573
7.285714287,12.285714286,19.571428573
7.285714287,12.285714286,19.571428573
7.285714287,12.285714286,19.571428573
7.285714287,12.285714286,19.571428573
9.000000001,8.571428573,17.571428574
9.000000001,8.571428573,17.571428574
9.000000001,8.571428573,17.571428574
9.000000001,8.571428573,17.571428574
9.000000001,8.571428573,17.571428574
9.000000001,8.571428573,17.571428574
9.000000001,8.571428573,17.571428574
6.42857143,5.142857142,11.571428572
