0-65,65-inf,all
0.142857142857139,0.428571428571387,0.571428571428527
0.142857142857139,0.428571428571387,0.571428571428527
0.142857142857139,0.428571428571387,0.571428571428527
0.142857142857139,0.428571428571387,0.571428571428527
0.142857142857139,0.428571428571387,0.571428571428527
0.142857142857139,0.428571428571387,0.571428571428527
0.142857142857167,0.428571428571673,0.571428571428839
0,0.571428571428498,0.571428571428498
0,0.571428571428498,0.571428571428498
0,0.571428571428498,0.571428571428498
0,0.571428571428498,0.571428571428498
0,0.571428571428498,0.571428571428498
0,0.571428571428498,0.571428571428498
0,0.57142857142901,0.57142857142901
0,0.857142857142831,0.857142857142833
0,0.857142857142831,0.857142857142833
0,0.857142857142831,0.857142857142833
0,0.857142857142831,0.857142857142833
0,0.857142857142831,0.857142857142833
0,0.857142857142831,0.857142857142833
0,0.857142857143004,0.857142857143003
0,0.857142857142888,0.85714285714289
0,0.857142857142888,0.85714285714289
0,0.857142857142888,0.85714285714289
0,0.857142857142888,0.85714285714289
0,0.857142857142888,0.85714285714289
0,0.857142857142888,0.85714285714289
0,0.857142857142662,0.857142857142662
0,1.28571428571411,1.28571428571411
0,1.28571428571411,1.28571428571411
0,1.28571428571411,1.28571428571411
0,1.28571428571411,1.28571428571411
0,1.28571428571411,1.28571428571411
0,1.28571428571411,1.28571428571411
0,1.28571428571536,1.28571428571536
0,2.28571428571439,2.28571428571439
0,2.28571428571439,2.28571428571439
0,2.28571428571439,2.28571428571439
0,2.28571428571439,2.28571428571439
0,2.28571428571439,2.28571428571439
0,2.28571428571439,2.28571428571439
0,2.28571428571365,2.28571428571365
0.142857142857139,4.14285714285711,4.28571428571425
0.142857142857139,4.14285714285711,4.28571428571425
0.142857142857139,4.14285714285711,4.28571428571425
0.142857142857139,4.14285714285711,4.28571428571425
0.142857142857139,4.14285714285711,4.28571428571425
0.142857142857139,4.14285714285711,4.28571428571425
0.142857142857167,4.14285714285734,4.28571428571451
0.285714285714285,2.99999999999994,3.28571428571423
0.285714285714285,2.99999999999994,3.28571428571423
0.285714285714285,2.99999999999994,3.28571428571423
0.285714285714285,2.99999999999994,3.28571428571423
0.285714285714285,2.99999999999994,3.28571428571423
0.285714285714285,2.99999999999994,3.28571428571423
0.285714285714292,3.00000000000034,3.28571428571463
0.285714285714285,1.85714285714306,2.14285714285734
0.285714285714285,1.85714285714306,2.14285714285734
0.285714285714285,1.85714285714306,2.14285714285734
0.285714285714285,1.85714285714306,2.14285714285734
0.285714285714285,1.85714285714306,2.14285714285734
0.285714285714285,1.85714285714306,2.14285714285734
0.285714285714292,1.85714285714164,2.14285714285593
0.142857142857139,1.71428571428549,1.85714285714263
0.142857142857139,1.71428571428549,1.85714285714263
0.142857142857139,1.71428571428549,1.85714285714263
0.142857142857139,1.71428571428549,1.85714285714263
0.142857142857139,1.71428571428549,1.85714285714263
0.142857142857139,1.71428571428549,1.85714285714263
0.142857142857167,1.71428571428703,1.8571428571442
0.142857142857142,4.57142857142861,4.71428571428575
0.142857142857142,4.57142857142861,4.71428571428575
0.142857142857142,4.57142857142861,4.71428571428575
0.142857142857142,4.57142857142861,4.71428571428575
0.142857142857142,4.57142857142861,4.71428571428575
0.142857142857142,4.57142857142861,4.71428571428575
0.142857142857146,4.57142857142833,4.71428571428547
1.42857142857143,13.1428571428572,14.5714285714286
1.42857142857143,13.1428571428572,14.5714285714286
1.42857142857143,13.1428571428572,14.5714285714286
1.42857142857143,13.1428571428572,14.5714285714286
1.42857142857143,13.1428571428572,14.5714285714286
1.42857142857143,13.1428571428572,14.5714285714286
1.4285714285714,13.142857142857,14.5714285714284
0.857142857142854,11.8571428571429,12.7142857142857
0.857142857142854,11.8571428571429,12.7142857142857
