S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3,S_4,I_4,R_4,Q_4,D_4,Q_entry_4,D_entry_4,S_5,I_5,R_5,Q_5,D_5,Q_entry_5,D_entry_5,S_6,I_6,R_6,Q_6,D_6,Q_entry_6,D_entry_6,S_7,I_7,R_7,Q_7,D_7,Q_entry_7,D_entry_7
0.230032,0.000177129,0.000732093,1.27842e-07,8.86968e-08,3.08713e-08,1.19522e-08,0.25144,0.00345462,0.00980661,4.06417e-06,2.84483e-07,1.37301e-06,4.29053e-08,0.151704,4.97901e-08,8.53032e-05,2.59461e-07,0.000173921,2.85739e-08,1.1209e-07,0.13073,4.94271e-05,0.000452986,7.75049e-06,5.56173e-06,6.73264e-06,1.32804e-07,0.0480952,7.75417e-05,5.248e-05,3.48376e-06,3.67679e-06,5.87751e-07,2.53458e-07,0.0467071,0.000275365,0.000112339,5.16564e-07,1.00034e-06,5.07215e-07,5.63514e-08,0.0445261,5.65849e-05,5.29663e-06,7.6297e-07,1.06168e-05,6.72762e-07,6.10213e-07,0.0810681,8.24354e-05,1.53424e-05,4.93264e-06,4.40502e-05,3.03693e-06,2.82004e-06
0.229921,0.000187009,0.000834046,1.441e-07,1.02176e-07,3.47423e-08,1.3479e-08,0.249908,0.00338695,0.0114052,4.66741e-06,3.33889e-07,1.56849e-06,4.94064e-08,0.151704,5.22483e-08,8.53348e-05,1.72952e-07,0.000173996,1.87677e-08,7.48524e-08,0.130723,4.72548e-05,0.000462617,7.15985e-06,5.68442e-06,6.21956e-06,1.22684e-07,0.0480926,7.71566e-05,5.52035e-05,3.50168e-06,3.93179e-06,5.88013e-07,2.55004e-07,0.0466986,0.000277806,0.000118434,5.20457e-07,1.05711e-06,5.11037e-07,5.67763e-08,0.0445256,5.6105e-05,5.59082e-06,7.70018e-07,1.12327e-05,6.78976e-07,6.1585e-07,0.0810646,8.20384e-05,1.6284e-05,5.02834e-06,4.6925e-05,3.09584e-06,2.87477e-06
0.229803,0.000197383,0.000941687,1.59946e-07,1.17369e-07,3.66802e-08,1.51932e-08,0.248416,0.00331147,0.0129727,5.09666e-06,3.90629e-07,1.53777e-06,5.67397e-08,0.151704,5.48277e-08,8.53562e-05,1.22471e-07,0.000174046,1.96942e-08,4.98953e-08,0.130717,4.51776e-05,0.00047161,6.81484e-06,5.79775e-06,5.94621e-06,1.13335e-07,0.04809,7.67733e-05,5.79167e-05,3.51375e-06,4.18811e-06,5.85093e-07,2.56316e-07,0.0466899,0.000280266,0.000124583,5.25056e-07,1.11432e-06,5.15565e-07,5.72041e-08,0.0445252,5.56292e-05,5.88351e-06,7.65101e-07,1.18542e-05,6.73217e-07,6.21539e-07,0.0810611,8.16431e-05,1.72241e-05,5.05093e-06,4.98555e-05,3.08093e-06,2.93054e-06
0.229678,0.000208268,0.0010553,1.75535e-07,1.34233e-07,3.87149e-08,1.68639e-08,0.246965,0.00322895,0.0145054,5.38969e-06,4.52587e-07,1.50349e-06,6.19579e-08,0.151704,5.75346e-08,8.53718e-05,9.34447e-08,0.000174082,2.06665e-08,3.53319e-08,0.13071,4.31913e-05,0.000480181,6.5116e-06,5.90562e-06,5.68482e-06,1.07873e-07,0.0480874,7.63918e-05,6.06191e-05,3.52095e-06,4.44531e-06,5.82186e-07,2.572e-07,0.0466811,0.000282746,0.000130786,5.29706e-07,1.17203e-06,5.20131e-07,5.77097e-08,0.0445248,5.51573e-05,6.17384e-06,7.58804e-07,1.24718e-05,6.67507e-07,6.17569e-07,0.0810576,8.12496e-05,1.81609e-05,5.04493e-06,5.27992e-05,3.06609e-06,2.94371e-06
0.229547,0.000219682,0.00117518,1.91006e-07,1.52741e-07,4.08499e-08,1.85076e-08,0.245559,0.00314023,0.0159999,5.57566e-06,5.18107e-07,1.46603e-06,6.55201e-08,0.151704,6.0375e-08,8.53841e-05,7.72163e-08,0.000174109,2.16868e-08,2.69581e-08,0.130704,4.12921e-05,0.000488372,6.22488e-06,6.0087e-06,5.43489e-06,1.03073e-07,0.0480848,7.60121e-05,6.33103e-05,3.52407e-06,4.70304e-06,5.79293e-07,2.57726e-07,0.0466723,0.000285247,0.000137044,5.34394e-07,1.23025e-06,5.24734e-07,5.82207e-08,0.0445243,5.46895e-05,6.46172e-06,7.52391e-07,1.30842e-05,6.61846e-07,6.12487e-07,0.0810542,8.08578e-05,1.90936e-05,5.0278e-06,5.57394e-05,3.05131e-06,2.94021e-06
0.229408,0.000231643,0.00130163,2.06478e-07,1.72879e-07,4.30887e-08,2.01387e-08,0.2442,0.00304616,0.0174535,5.67718e-06,5.85888e-07,1.42575e-06,6.77809e-08,0.151704,6.33557e-08,8.53945e-05,6.86432e-08,0.000174131,2.27575e-08,2.22763e-08,0.130698,3.94761e-05,0.000496203,5.95111e-06,6.10723e-06,5.1959e-06,9.85347e-08,0.0480822,7.5634e-05,6.599e-05,3.5238e-06,4.96099e-06,5.76413e-07,2.57955e-07,0.0466634,0.000287768,0.000143357,5.3912e-07,1.28898e-06,5.29375e-07,5.8736e-08,0.0445239,5.42257e-05,6.74715e-06,7.46012e-07,1.36916e-05,6.56233e-07,6.07311e-07,0.0810507,8.04678e-05,2.0022e-05,5.00638e-06,5.86696e-05,3.0366e-06,2.93023e-06
0.229262,0.000244167,0.00143496,2.22059e-07,1.94649e-07,4.54347e-08,2.177e-08,0.242888,0.00294761,0.0188636,5.71188e-06,6.54903e-07,1.38304e-06,6.9015e-08,0.151704,6.64836e-08,8.54039e-05,6.46722e-08,0.000174151,2.38811e-08,1.9803e-08,0.130693,3.77398e-05,0.000503689,5.68939e-06,6.20143e-06,4.96739e-06,9.42012e-08,0.0480797,7.52578e-05,6.86579e-05,3.5207e-06,5.21893e-06,5.73547e-07,2.57935e-07,0.0466544,0.00029031,0.000149726,5.43885e-07,1.34824e-06,5.34054e-07,5.92555e-08,0.0445235,5.37657e-05,7.03017e-06,7.39685e-07,1.42937e-05,6.50667e-07,6.02162e-07,0.0810473,8.00795e-05,2.0946e-05,4.98334e-06,6.15874e-05,3.02195e-06,2.91774e-06
0.229109,0.00025727,0.0015755,2.37844e-07,2.18062e-07,4.78911e-08,2.34128e-08,0.241626,0.00284543,0.0202281,5.69359e-06,7.2434e-07,1.33829e-06,6.94369e-08,0.151704,6.97658e-08,8.5413e-05,6.34914e-08,0.000174169,2.506e-08,1.86574e-08,0.130687,3.60796e-05,0.000510847,5.43914e-06,6.29149e-06,4.7489e-06,9.00583e-08,0.0480772,7.48833e-05,7.13138e-05,3.51526e-06,5.47663e-06,5.70694e-07,2.57708e-07,0.0466454,0.000292872,0.000156151,5.48689e-07,1.40802e-06,5.38771e-07,5.97792e-08,0.0445231,5.33097e-05,7.31079e-06,7.33412e-07,1.48908e-05,6.45148e-07,5.97055e-07,0.0810439,7.96929e-05,2.18656e-05,4.95973e-06,6.44917e-05,3.00737e-06,2.90432e-06
0.228947,0.000270967,0.00172358,2.53917e-07,2.43139e-07,5.04612e-08,2.50771e-08,0.240413,0.00274046,0.0215453,5.63326e-06,7.93554e-07,1.2919e-06,6.92146e-08,0.151704,7.32101e-08,8.5422e-05,6.4027e-08,0.000174188,2.62972e-08,1.83168e-08,0.130682,3.44922e-05,0.000517689,5.19987e-06,6.37759e-06,4.53999e-06,8.60972e-08,0.0480746,7.45105e-05,7.39576e-05,3.50787e-06,5.73394e-06,5.67853e-07,2.5731e-07,0.0466363,0.000295455,0.000162633,5.53532e-07,1.46832e-06,5.43526e-07,6.03072e-08,0.0445227,5.28575e-05,7.58903e-06,7.27191e-07,1.54828e-05,6.39676e-07,5.91991e-07,0.0810405,7.93081e-05,2.27808e-05,4.93596e-06,6.73823e-05,2.99285e-06,2.89056e-06
0.228777,0.000285274,0.00187955,2.70352e-07,2.69911e-07,5.31479e-08,2.67717e-08,0.239252,0.0026335,0.022814,5.53959e-06,8.62035e-07,1.24424e-06,6.84811e-08,0.151704,7.68244e-08,8.54312e-05,6.56435e-08,0.000174206,2.75955e-08,1.84713e-08,0.130678,3.29744e-05,0.00052423,4.9711e-06,6.4599e-06,4.34025e-06,8.23097e-08,0.0480721,7.41394e-05,7.65892e-05,3.49887e-06,5.99071e-06,5.65026e-07,2.56769e-07,0.0466271,0.000298059,0.000169173,5.58414e-07,1.52916e-06,5.4832e-07,6.08395e-08,0.0445223,5.24092e-05,7.86491e-06,7.21023e-07,1.60697e-05,6.3425e-07,5.8697e-07,0.0810371,7.8925e-05,2.36915e-05,4.9122e-06,7.0259e-05,2.9784e-06,2.87671e-06
