0-20,20-40,40-50,50-60,60-65,65-70,70-75,75-inf,total
0,0,0,0,0.142857142857167,0.142857142856997,0.142857142857338,1.4285714285727,1.8571428571442
0,0,0.142857142857142,0,0,0,0.571428571428555,4.00000000000006,4.71428571428575
0,0,0.142857142857142,0,0,0,0.571428571428555,4.00000000000006,4.71428571428575
0,0,0.142857142857142,0,0,0,0.571428571428555,4.00000000000006,4.71428571428575
0,0,0.142857142857142,0,0,0,0.571428571428555,4.00000000000006,4.71428571428575
0,0,0.142857142857142,0,0,0,0.571428571428555,4.00000000000006,4.71428571428575
0,0,0.142857142857142,0,0,0,0.571428571428555,4.00000000000006,4.71428571428575
0,0,0.142857142857146,0,0,0,0.571428571428669,3.99999999999966,4.71428571428547
0,0,0.571428571428573,0.142857142857139,0.714285714285722,0.571428571428555,1.42857142857144,11.1428571428572,14.5714285714286
0,0,0.571428571428573,0.142857142857139,0.714285714285722,0.571428571428555,1.42857142857144,11.1428571428572,14.5714285714286
0,0,0.571428571428573,0.142857142857139,0.714285714285722,0.571428571428555,1.42857142857144,11.1428571428572,14.5714285714286
0,0,0.571428571428573,0.142857142857139,0.714285714285722,0.571428571428555,1.42857142857144,11.1428571428572,14.5714285714286
0,0,0.571428571428573,0.142857142857139,0.714285714285722,0.571428571428555,1.42857142857144,11.1428571428572,14.5714285714286
0,0,0.571428571428573,0.142857142857139,0.714285714285722,0.571428571428555,1.42857142857144,11.1428571428572,14.5714285714286
0,0,0.571428571428562,0.142857142857167,0.714285714285666,0.571428571428669,1.42857142857133,11.142857142857,14.5714285714284
0,0,0,0.714285714285715,0.142857142857139,0.571428571428555,0.428571428571445,10.8571428571429,12.7142857142857
0,0,0,0.714285714285715,0.142857142857139,0.571428571428555,0.428571428571445,10.8571428571429,12.7142857142857
0,0,0,0.714285714285715,0.142857142857139,0.571428571428555,0.428571428571445,10.8571428571429,12.7142857142857
0,0,0,0.714285714285715,0.142857142857139,0.571428571428555,0.428571428571445,10.8571428571429,12.7142857142857
0,0,0,0.714285714285715,0.142857142857139,0.571428571428555,0.428571428571445,10.8571428571429,12.7142857142857
0,0,0,0.714285714285715,0.142857142857139,0.571428571428555,0.428571428571445,10.8571428571429,12.7142857142857
0,0,0,0.714285714285709,0.142857142857167,0.571428571428669,0.428571428571331,10.8571428571427,12.7142857142855
0,0.142857142857143,0.285714285714285,0.428571428571438,0.571428571428584,1.14285714285717,1.42857142857144,17.2857142857142,21.2857142857142
0,0.142857142857143,0.285714285714285,0.428571428571438,0.571428571428584,1.14285714285717,1.42857142857144,17.2857142857142,21.2857142857142
0,0.142857142857143,0.285714285714285,0.428571428571438,0.571428571428584,1.14285714285717,1.42857142857144,17.2857142857142,21.2857142857142
0,0.142857142857143,0.285714285714285,0.428571428571438,0.571428571428584,1.14285714285717,1.42857142857144,17.2857142857142,21.2857142857142
0,0.142857142857143,0.285714285714285,0.428571428571438,0.571428571428584,1.14285714285717,1.42857142857144,17.2857142857142,21.2857142857142
0,0.142857142857143,0.285714285714285,0.428571428571438,0.571428571428584,1.14285714285717,1.42857142857144,17.2857142857142,21.2857142857142
0,0.142857142857141,0.285714285714287,0.428571428571374,0.571428571428498,1.142857142857,1.42857142857133,17.285714285715,21.2857142857146
0,0,0.142857142857142,0.57142857142857,0.714285714285722,1.57142857142856,2.28571428571433,20.8571428571427,26.142857142857
0,0,0.142857142857142,0.57142857142857,0.714285714285722,1.57142857142856,2.28571428571433,20.8571428571427,26.142857142857
0,0,0.142857142857142,0.57142857142857,0.714285714285722,1.57142857142856,2.28571428571433,20.8571428571427,26.142857142857
0,0,0.142857142857142,0.57142857142857,0.714285714285722,1.57142857142856,2.28571428571433,20.8571428571427,26.142857142857
0,0,0.142857142857142,0.57142857142857,0.714285714285722,1.57142857142856,2.28571428571433,20.8571428571427,26.142857142857
0,0,0.142857142857142,0.57142857142857,0.714285714285722,1.57142857142856,2.28571428571433,20.8571428571427,26.142857142857
0,0,0.142857142857146,0.571428571428583,0.714285714285666,1.57142857142867,2.28571428571399,20.857142857144,26.1428571428581
0,0.142857142857142,0.142857142857142,0.285714285714285,1.14285714285714,1.57142857142856,3.85714285714289,39.7142857142857,46.8571428571428
0,0.142857142857142,0.142857142857142,0.285714285714285,1.14285714285714,1.57142857142856,3.85714285714289,39.7142857142857,46.8571428571428
0,0.142857142857142,0.142857142857142,0.285714285714285,1.14285714285714,1.57142857142856,3.85714285714289,39.7142857142857,46.8571428571428
0,0.142857142857142,0.142857142857142,0.285714285714285,1.14285714285714,1.57142857142856,3.85714285714289,39.7142857142857,46.8571428571428
0,0.142857142857142,0.142857142857142,0.285714285714285,1.14285714285714,1.57142857142856,3.85714285714289,39.7142857142857,46.8571428571428
0,0.142857142857142,0.142857142857142,0.285714285714285,1.14285714285714,1.57142857142856,3.85714285714289,39.7142857142857,46.8571428571428
0,0.142857142857146,0.142857142857146,0.285714285714292,1.14285714285717,1.57142857142867,3.85714285714266,39.714285714286,46.8571428571431
0,0,0.285714285714288,0.857142857142854,1,2.28571428571428,6.28571428571433,51.2857142857143,62.0000000000001
0,0,0.285714285714288,0.857142857142854,1,2.28571428571428,6.28571428571433,51.2857142857143,62.0000000000001
0,0,0.285714285714288,0.857142857142854,1,2.28571428571428,6.28571428571433,51.2857142857143,62.0000000000001
0,0,0.285714285714288,0.857142857142854,1,2.28571428571428,6.28571428571433,51.2857142857143,62.0000000000001
0,0,0.285714285714288,0.857142857142854,1,2.28571428571428,6.28571428571433,51.2857142857143,62.0000000000001
0,0,0.285714285714288,0.857142857142854,1,2.28571428571428,6.28571428571433,51.2857142857143,62.0000000000001
0,0,0.285714285714271,0.857142857142876,1,2.28571428571433,6.28571428571399,51.285714285714,61.9999999999995
0,0.285714285714286,0.285714285714288,1.14285714285714,1.14285714285714,2.57142857142856,7.28571428571433,68,80.7142857142857
0,0.285714285714286,0.285714285714288,1.14285714285714,1.14285714285714,2.57142857142856,7.28571428571433,68,80.7142857142857
0,0.285714285714286,0.285714285714288,1.14285714285714,1.14285714285714,2.57142857142856,7.28571428571433,68,80.7142857142857
0,0.285714285714286,0.285714285714288,1.14285714285714,1.14285714285714,2.57142857142856,7.28571428571433,68,80.7142857142857
0,0.285714285714286,0.285714285714288,1.14285714285714,1.14285714285714,2.57142857142856,7.28571428571433,68,80.7142857142857
0,0.285714285714286,0.285714285714288,1.14285714285714,1.14285714285714,2.57142857142856,7.28571428571433,68,80.7142857142857
0,0.285714285714281,0.285714285714271,1.14285714285717,1.14285714285717,2.57142857142867,7.28571428571399,68,80.7142857142856
0.142857142857143,0,0.428571428571427,1.57142857142856,1.28571428571428,2.85714285714283,4.71428571428567,56.8571428571428,67.8571428571427
0.142857142857143,0,0.428571428571427,1.57142857142856,1.28571428571428,2.85714285714283,4.71428571428567,56.8571428571428,67.8571428571427
0.142857142857143,0,0.428571428571427,1.57142857142856,1.28571428571428,2.85714285714283,4.71428571428567,56.8571428571428,67.8571428571427
0.142857142857143,0,0.428571428571427,1.57142857142856,1.28571428571428,2.85714285714283,4.71428571428567,56.8571428571428,67.8571428571427
0.142857142857143,0,0.428571428571427,1.57142857142857,1.28571428571428,2.85714285714283,4.71428571428567,56.8571428571428,67.8571428571427
0.142857142857143,0,0.428571428571427,1.57142857142857,1.28571428571428,2.85714285714283,4.71428571428567,56.8571428571428,67.8571428571427
0.142857142857143,0,0.428571428571438,1.57142857142861,1.28571428571433,2.857142857143,4.71428571428601,56.8571428571434,67.8571428571439
0,0.285714285714286,0.142857142857146,1,1.42857142857142,2.14285714285717,3.42857142857144,51.4285714285714,59.8571428571429
0,0.285714285714286,0.142857142857146,1,1.42857142857142,2.14285714285717,3.42857142857144,51.4285714285714,59.8571428571429
0,0.285714285714286,0.142857142857146,1,1.42857142857142,2.14285714285717,3.42857142857144,51.4285714285714,59.8571428571429
0,0.285714285714286,0.142857142857146,1,1.42857142857142,2.14285714285717,3.42857142857144,51.4285714285714,59.8571428571429
0,0.285714285714286,0.142857142857146,1,1.42857142857142,2.14285714285717,3.42857142857144,51.4285714285714,59.8571428571429
0,0.285714285714286,0.142857142857146,1,1.42857142857142,2.14285714285717,3.42857142857144,51.4285714285714,59.8571428571429
0,0.285714285714281,0.142857142857125,1,1.4285714285715,2.142857142857,3.42857142857133,51.4285714285713,59.8571428571426
0,0.142857142857143,0.142857142857146,0.428571428571431,1.42857142857142,2.14285714285717,4.85714285714289,48.4285714285717,57.5714285714288
0,0.142857142857143,0.142857142857146,0.428571428571431,1.42857142857142,2.14285714285717,4.85714285714289,48.4285714285717,57.5714285714288
